ip.src,ip.dst,ip.len,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,Prediction
142.250.194.174,192.168.1.42,0.6367417559430618,2,-0.1417652958767979,-0.1570573676293112,-0.4927849575165567,0.2537459150022432,Attack
142.250.194.174,192.168.1.42,-0.9387530334194638,2,-0.1417652958767979,-0.1570573676293112,-0.4927849575165567,0.2537459150022432,Attack
142.250.194.174,192.168.1.42,-1.6333860788476222,2,-0.1417652958767979,-0.1570573676293112,-0.4927849575165567,0.2537459150022432,Attack
192.168.1.42,142.250.194.174,-1.6166254959820634,2,-0.1417652958767979,-0.1570573676293112,1.7596830340680998,-1.7620737190258502,Attack
142.250.194.174,192.168.1.42,0.6367417559430618,2,-0.1417652958767979,-0.1570573676293112,-0.4927849575165567,0.2537459150022432,Attack
192.168.1.42,142.250.194.174,-1.6203500699521876,2,-0.1417652958767979,-0.1570573676293112,1.7596830340680998,-1.7620737190258502,Attack
142.250.194.174,192.168.1.42,-1.6371106528177464,2,-0.1417652958767979,-0.1570573676293112,-0.4927849575165567,0.2537459150022432,Attack
192.168.1.42,20.189.173.7,-1.6594580966384915,1,7.556907501830498,0.0224376007762283,-0.5126116057117827,-1.7798173437336031,Attack
192.168.1.42,20.189.173.7,-1.6594580966384915,1,7.555090598698111,0.0224376007762283,-0.5126116057117827,-1.7798173437336031,Attack
20.189.173.7,192.168.1.42,-1.6389729398028086,1,0.0599109518181716,6.694880063689361,-0.5126116057117827,-1.7798173437336031,Attack
20.189.173.7,192.168.1.42,-1.6389729398028086,1,0.0599109518181716,6.693262991901923,-0.5126116057117827,-1.7798173437336031,Attack
192.168.1.42,34.128.128.0,-1.6594580966384915,1,7.166273328367269,0.0224376007762283,-0.5126116057117827,-1.7798173437336031,Attack
34.128.128.0,192.168.1.42,-1.6389729398028086,1,0.0599109518181716,6.347209629390342,-0.5126116057117827,-1.7798173437336031,Attack
192.168.1.42,49.44.137.73,0.6441909038833101,2,-0.1417652958767979,-0.1570573676293112,1.723780725174042,-1.7620737190258502,Benign
